section,title,description
83,Worker reskilling fund,"(1) The appropriate Government shall, by notification, set up a fund to be called the worker re-skilling fund (hereafter in this section referred to as “fund”). (2) The fund shall consist of— (a) the contribution of the employer of an industrial establishment an amount equal to fifteen days wages last drawn by the worker immediately before the retrenchment, or such other number of days as may be notified by the Central Government, for every retrenched worker in case of retrenchment only; (b) the contribution from such other sources as may be prescribed by the appropriate Government. (3) The fund shall be utilised by crediting fifteen days wages last drawn by the worker to his account who is retrenched, within forty-five days of such retrenchment, in such manner as may be prescribed. CHAPTER XII UNFAIR LABOUR PRACTICES"
84,Prohibition of unfair labour practice,"No employer or worker or a Trade Union, whether registered under this Code, or not, shall commit any unfair labour practice specified in the Second Schedule. CHAPTER XIII OFFENCES AND PENALTIES"
85,Power of officers of appropriate Government to impose penalty in certain cases,"(1) Notwithstanding anything contained in section 84, for the purpose of imposing penalty under sub- sections (3), (5), (7), (8), (9), (10), (11) and (20) of section 86 and sub-section (7) of section 89, the appropriate Government may appoint any officer not below the rank of Under Secretary to the Government of India or an officer of equivalent rank in the State Government, as the case may be, for holding enquiry in such manner, as may be prescribed by the Central Government. (2) While holding the enquiry, the officer referred to in sub-section (1) shall have the power to summon and enforce attendance of any person acquainted with the facts and circumstances of the case to give evidence or to produce any document, which in the opinion of such officer, may be useful for or relevant to the subject matter of the enquiry and if, on such enquiry, he is satisfied that the person has committed any offence under the provisions referred to in sub-section (1), he may impose such penalty as he thinks fit in accordance with such provisions. (3) Where a person fails to pay the penalty referred to in sub-section (2) within a period of ninety days from the date of receipt of the copy of the order, he shall be punishable with fine which shall not be less than fifty thousand rupees but may extend up to two lakh rupees."
86,Penalties,"(1) An employer who contravenes the provisions of section 78 or section 79 or section 80 shall be punishable with fine which shall not be less than one lakh rupees, but which may extend to ten lakh rupees. (2) An employer who after conviction for an offence under section 78 or section 79 or section 80 again commits the same offence under section 78 or section 79 or section 80, then, he shall for the second or subsequent offence be punishable with fine which shall not be less than five lakh rupees, but which may extend up to twenty lakh rupees or with imprisonment for a term which may extend to six months, or with both. (3) An employer who contravenes the provisions of section 67 or section 70 or section 73 or section 75 shall be punishable with fine which shall not be less than fifty thousand rupees, but which may extend to two lakh rupees. (4) An employer who after conviction for an offence under section 67 or section 70 or section 73 or section 75 again commits the same offence under section 67 or section 70 or section 73 or section 75, then, he shall for the second or subsequent offence be punishable with fine which shall not be less than one lakh rupees, but which may extend to five lakh rupees or with imprisonment for a term which may extend to six months, or with both. (5) Any person who commits any unfair labour practice as specified in the Second Schedule shall be punishable with fine which shall not be less than ten thousand rupees, but which may extend to two lakh rupees. (6) Any person who after conviction for any unfair labour practice again commits the same offence, then, he shall, for committing the second or subsequent offence, be punishable with fine which shall not be less than fifty thousand rupees, but which may extend to five lakh rupees or with impr"
87,Cognizance of offences,"(1) No court shall take cognizance of any offence punishable under this Code, save on a complaint made by or under the authority of the appropriate Government. (2) Notwithstanding anything contained in the Code of Criminal Procedure, 1973 (2 of 1974), no court inferior to that of the Metropolitan Magistrate or Judicial Magistrate of the first class shall try the offences under this Code."
88,Offences by companies,"(1) If the person committing an offence under this Code is a company, every person who, at the time the offence was committed was in charge of, and was responsible to, the company for the conduct of business of the company, as well as the company, shall be deemed to be guilty of the offence and shall be liable to be proceeded against and punished accordingly: Provided that nothing contained in this sub-section shall render any such person liable to any punishment if he proves that the offence was committed without his knowledge and that he exercised all due diligence to prevent the commission of such offence. (2) Notwithstanding anything contained in sub-section (1), where an offence under this Code has been committed by a company and it is proved that the offence has been committed with the consent or connivance of, or is attributable to any neglect on the part of, any director, manager, secretary or other officer of the company, such director, manager, secretary or other officer shall also be deemed to be guilty of that offence and shall be liable to be proceeded against and punished accordingly. Explanation.—For the purposes of this section,— (a) “company” means any body corporate and includes— (i) a firm; or (ii) a limited liability partnership registered under the Limited Liability Partnership Act, 2008 (6 of 2009); or (iii) other association of individuals; and (b) “director” in relation to a firm means a partner in the firm."
89,Composition of offences,"(1) Notwithstanding anything contained in the Code of Criminal Procedure, 1973 (2 of 1974), any offence punishable under this Code, not being an offence punishable with imprisonment only, or with imprisonment and also with fine, may, on an application of the accused person, either before or after the institution of any prosecution, be compounded by a Gazetted Officer, as the appropriate Government may, by notification, specify, for a sum of fifty per cent. of the maximum fine provided for such offence punishable with fine only and for a sum of seventy-five per cent. provided for such offence punishable with imprisonment for a term which is not more than one year or with fine, in the manner as may be prescribed: Provided that such amount of composition shall be credited to the Social Security Fund established under section 141 of the Social Security Code, 2020. (2) Nothing contained in sub-section (1) shall apply to an offence committed by a person for the second time or thereafter within a period of three years from the date— (a) of commission of a similar offence which was earlier compounded; (b) of commission of similar offence for which such person was earlier convicted. (3) Every officer referred to in sub-section (1) shall exercise the powers to compound an offence, subject to the direction, control and supervision of the appropriate Government. (4) Every application for the compounding of an offence shall be made in such manner as may be prescribed. (5) Where any offence is compounded before the institution of any prosecution, no prosecution shall be instituted in relation to such offence, against the offender in relation to whom the offence is so compounded. (6) Where the composition of any offence is made after the institution of any prosecution, such compositio"
90,"Conditions of service, etc., to remain unchanged under certain circumstances during pendency of proceedings","(1) Where an industrial dispute pertaining to an establishment or undertaking is already pending before a conciliation officer or an Arbitrator or a Tribunal or a National Industrial Tribunal, as the case may be, with regard to matters not covered by the notice of change issued by an employer under section 40, no employer shall— (a) in regard to any matter connected with such dispute, alter to the prejudice of the workers concerned in such dispute the conditions of service applicable to them immediately before the commencement of such proceedings; or (b) for any misconduct connected with the dispute, discharge or punish, whether by dismissal or otherwise any worker concerned in such dispute, save with the express permission in writing of the authority before which the proceeding is pending. (2) During the pendency of any such proceeding in respect of an industrial dispute referred in sub- section (1), the employer may, in accordance with standing orders applicable to a worker concerned in such dispute or, where there are no such standing orders, in accordance with the terms of the contract, whether express or implied, between him and the worker— (a) alter, in regard to any matter not connected with the dispute, the conditions of service applicable to that worker immediately before the commencement of such proceeding; or (b) for any misconduct not connected with the dispute, discharge or punish, whether by dismissal or otherwise, that worker: Provided that no such worker shall be discharged or dismissed, unless he has been paid wages for one month and an application has been made by the employer to the authority before which the proceeding is pending for approval of the action taken by the employer. (3) Notwithstanding anything contained in sub-section (2), no employer s"
91,"Special provision for adjudication as to whether conditions of service, etc., changed during pendency of proceedings","Where an employer contravenes the provisions of section 90 during the pendency of proceedings before conciliation officer, arbitrator, Tribunal or National Industrial Tribunal, as the case may be, any employee aggrieved by such contravention, may make a complaint in writing in such manner as may be prescribed— (a) to such conciliation officer, and the conciliation officer shall take such complaint into account in mediating in, and promoting the settlement of, such industrial dispute; and (b) to such arbitrator, Tribunal or National Industrial Tribunal and on receipt of such complaint, the arbitrator, Tribunal or National Industrial Tribunal, as the case may be, shall adjudicate upon the complaint as if it were a dispute referred to or pending before it, in accordance with the provisions of this Code and shall submit his or its award to the appropriate Government and the provisions of this Code shall apply accordingly. 92. Power to transfer certain proceedings. (1) The appropriate Government may, by order in writing and for reasons to be stated therein, withdraw any proceeding under this Code pending before a Tribunal and transfer the same to another Tribunal, as the case may be, for the disposal of the proceeding and the Tribunal to which the proceeding is so transferred may, subject to special directions in the order of transfer, proceed either de novo or from the stage at which it was so transferred. (2) The Central Government may, by order in writing and for reasons to be stated therein, withdraw any proceeding pending under this Code before a Tribunal constituted by the Central Government or the State Government and transfer to a National Industrial Tribunal for disposal of the proceeding and the National Industrial Tribunal to which the proceeding is so transferred"
93,Protection of persons,"(1) No person refusing to take part or to continue to take part in any strike or lock-out which is illegal under this Code shall, by reason of such refusal or by reason of any action taken by him under this section, be subject to expulsion from any Trade Union or society, or to any fine or penalty, or to deprivation of any right or benefit to which he or his legal representatives would otherwise be entitled, or be liable to be placed in any respect, either directly or indirectly, under any disability or at any disadvantage as compared with other members of the Union or society, anything to the contrary in rules of a Trade Union or society notwithstanding. (2) Nothing in the rules of a Trade Union or society requiring the settlement of dispute in any manner shall apply to any proceeding for enforcing any right or exemption secured by this section, and in any such proceeding the civil court may, in lieu of ordering a person who has been expelled from membership of a Trade Union or society to be restored to membership, order that he be paid out of the funds of the Trade Union or society such sum by way of compensation or damages as that court thinks just."
94,Representation of parties,"(1) A worker who is a party to a dispute shall be entitled to be represented in any proceeding under this Code by— (a) any member of the executive or other office-bearer of a registered Trade Union of which he is a member; (b) any member of the executive or other office-bearer of a federation of Trade Unions to which the Trade Union referred to in clause (a) is affiliated; (c) where the worker is not a member of any Trade Union, any member of the executive or other office-bearer of any Trade Union connected with, or by any other worker employed in the industry in which the worker is employed and authorised in such manner as may be prescribed. (2) An employer who is a party to a dispute shall be entitled to be represented in any proceeding under this Code by— (a) an officer of an association of employer of which he is a member; (b) an officer of a federation of associations of employers to which the association referred to in clause (a) is affiliated; (c) where the employer is not a member of any association of employers, an officer of any association of employers connected with, or by any other employer engaged in, the industry in which the employer is engaged and authorised in such manner as may be prescribed. (3) No party to a dispute shall be entitled to be represented by a legal practitioner in any conciliation proceedings under this Code or any proceedings before Tribunal or National Industrial Tribunal. (4) Notwithstanding anything contained in sub-section (3), in any proceeding before a Tribunal or a National Industrial Tribunal, a party to a dispute may be represented by a legal practitioner with the consent of the other parties to the proceeding and with the leave of the Tribunal or National Industrial Tribunal, as the case may be."
95,Removal of doubts in interpretation of award or settlement,"(1) If, in the opinion of the appropriate Government, any difficulty or doubt arises as to the interpretation of any provision of an award or settlement, it may refer the question to such Tribunal or National Industrial Tribunal as it may think fit. (2) A Tribunal or National Industrial Tribunal to which such question is referred shall, after giving the parties an opportunity of being heard, decide such question and its decision shall be final and binding on all such parties."
96,Power to exempt,"(1) Where the appropriate Government is satisfied in relation to any industrial establishment or undertaking or any class of industrial establishments or undertakings that adequate provisions exist to fulfil the objects of any provision of this Code, it may, by notification, exempt, conditionally or unconditionally such establishment or undertaking or, class of establishments or undertakings from that provision of this Code. (2) Notwithstanding anything contained in sub-section (1), where the appropriate Government is satisfied in relation to any new industrial establishment or new undertaking or class of new industrial establishments or new undertakings that it is necessary in the public interest so to do, it may, by notification, exempt, conditionally or unconditionally, any such new establishment or new undertaking or class of new establishments or new undertakings from all or any of the provisions of this Code for such period from the date of establishment of such new industrial establishment or new undertaking or class of new establishments or new undertakings, as the case may be, as may be specified in the notification: Provided that any notification issued by a State Government under the Industrial Disputes Act, 1947 (14 of 1947), prior to the commencement of this Code, to achieve the purpose as is specified in this sub- section in the State, shall remain in force after such commencement for its remaining period as if the provisions of this Code have not been brought into force to the extent they defeat any purpose to be achieved by such notification issued by that State Government. Explanation.—For the purposes of this sub-section, the expression ""new industrial establishment or new undertaking or class of new industrial establishments or new undertakings"" means"
97,Jurisdiction of civil courts barred,No civil court shall have jurisdiction in respect of any matter to which any provision of this Code applies and no injunction shall be granted by any civil court in respect of anything which is done or intended to be done by or under this Code.
98,Protection of action taken in good faith,"No suit, prosecution or other legal proceeding shall lie against any person for anything which is in good faith done or intended to be done in pursuance of this Code or any rules made thereunder."
99,Power of appropriate Government to make rules,"(1) The appropriate Government may, subject to the condition of previous publication, make rules for the purpose of giving effect to the provisions of this Code: Provided that the appropriate Government may, if it is satisfied that circumstances exist which render it necessary or expedient in the public interest so to do, dispense with the condition of previous publication or reduce the required time period for inviting objections or suggestions on such previous publication to the extent as it may deem fit. (2) In particular and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, namely:— (a) written agreement between the employer and worker arrived at otherwise than in the course of conciliation proceeding to arrive at a settlement under clause (zi) of section 2; (b) constitution of Works Committee and choosing of representatives of employer and workers engaged in the establishment under section 3; (c) manner of choosing members from the employer and the workers for Grievance Redressal Committee under sub-section (2) of section 4; (d) application in respect of any dispute to be filed before the Grievance Redressal Committee by any aggrieved worker under sub-section (5) of section 4; (e) manner of filing application for the conciliation of grievance as against the decision of the Grievance Redressal Committee to the conciliation officer under sub-section (8) of section 4; (f) the payment of a subscription by members of the Trade Union and donation from such members and others under clause (f) of section 7; (g) manner of annual audit under clause (j) of section 7; (h) form of declaration to be made by an affidavit and the manner of making the same under clause (a) of sub-section (1) of section 8; (i)"
100,Delegation of powers,"The appropriate Government may, by notification, direct that any power exercisable by it under this Code or rules made thereunder shall, in relation to such matters and subject to such conditions, if any, as may be specified in the direction, be exercisable also,— (a) where the appropriate Government is the Central Government, by such officer or authority subordinate to the Central Government or by the State Government, or by such officer or authority subordinate to the State Government, as may be specified in the notification; (b) where the appropriate Government is a State Government, by such officer or authority subordinate to the State Government as may be specified in the notification."
101,Power to amend Schedules,"(1) The Central Government may, by notification, add to or alter or amend the First Schedule or the Second Schedule or the Third Schedule and on any such notification being issued, the First Schedule or the Second Schedule or the Third Schedule, as the case may be, shall be deemed to be amended accordingly. (2) Every notification issued by the Central Government under sub-section (1) shall be laid as soon as may be after it is made before each House of Parliament while it is in session for a total period of thirty days which may be comprised in one session or in two or more successive sessions, and if, before the expiry of the session immediately following the session or the successive sessions aforesaid, both Houses agree in making any modification in the notification, or both Houses agree that the modification should not be made, the notification shall thereafter have effect only in such modified form or be of no effect, as the case may be; so, however, that any such modification or annulment shall be without prejudice to the validity of anything previously done in pursuance of that notification."
102,Amendment of Act 7 of 2017,"In the Finance Act, 2017, in the Eighth Schedule, against serial number 1,— (a) in column (2), for the words “Industrial Tribunal constituted by the Central Government”, the words, brackets and figures ""Industrial Tribunal constituted by the Central Government under sub-section (1) of section 44 of the Industrial Relations Code, 2020” shall be substituted; (b) in column (3), for the words and figures “The Industrial Disputes Act, 1947” (14 of 1947), the words and figures “The Industrial Relations Code, 2020"" shall be substituted."
103,Power to remove difficulties,"(1) If any difficulty arises in giving effect to the provisions of this Code, the Central Government may, by order published in the Official Gazette, make such provisions, not inconsistent with the provisions of this Code as may appear to it to be necessary for removing the difficulty: Provided that no order shall be made under this section after the expiry of three years from the date of commencement of this Code. (2) Every order made under this section shall be laid before each House of Parliament."
104,Repeal and savings,"1[(1) The following enactments shall stand repealed on and from the date appointed in the notification issued under sub-section (3) of section 1, namely:— (a) the Trade Unions Act, 1926 (16 of 1926); (b) the Industrial Employment (Standing Orders) Act, 1946 (20 of 1946); and (c) the Industrial Disputes Act, 1947 (14 of 1947). (1A) Notwithstanding such repeal under sub-section (1), the functioning of the Tribunals and statutory authorities functioning under the Acts so repealed shall continue to function till such Tribunals and other statutory authorities becomes functional under this Code.] 1. Subs. by Act 1 of 2026, s. 2, for sub-section (1) (w.e.f. 21-11-2025). (2) Notwithstanding such repeal under sub-section (1), anything done or any action taken under the provisions of the enactments so repealed including any rule, regulation, notification, nomination, appointment, order or direction made thereunder shall be deemed to have been done or taken under the corresponding provisions of this Code and shall be in force to the extent they are not contrary to the provisions of this Code. (3) Without prejudice to the provisions of sub-section (2), the provisions of section 6 of the General Clauses Act, 1897 shall apply to the repeal of such enactments. THE FIRST SCHEDULE [See sections 2 (zj), 30 (1), (6) and 101 (1)] MATTERS TO BE PROVIDED IN STANDING ORDERS UNDER THIS CODE 1. Classification of workers, whether permanent, temporary, apprentices, probationers, badlis or fixed term employment. 2. Manner of intimating to workers periods and hours of work, holidays, pay-days and wage rates. 3. Shift working. 4. Attendance and late coming. 5. Conditions of, procedure in applying for, and the authority which may grant leave and holidays. 6. Requirement to enter premises by certain g"
